tgrep.id,entire.sentence,,Most difficult when comparing clauses or things that didn't fit the same type. Also determining if certain adjective noun pairs were units sometimes made it difficult to know if nouns or adjectives were being compared. ,,Use,Notes,,,"for closest verb that wraps ///OR/// then categorize past, present, future"
37011:85,"but gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government that, nor eliminating ///OR/// diminishing the communist power,",,,,,,,,
110794:66,"even though teachers have other kids lives in their hands, and if they come in stoned ///OR/// they come in drunk",,,,,,,,
94572:24,i think normal's about sixty ///OR/// seventy.,,,,,,,,
91185:89,"but some of the, uh, the small, some of the larger small schools, you know, i guess around three ///OR/// four thousand students have a, can offer a broader range of curriculums and things,",,,,,,,,
119672:89,"and i, well, i can't think of a time that i've been fishing that i haven't run into one ///OR/// two of them.",,,,,,,,
163866:106,"what's more likely to occur is, uh, robbery of, uh, you know, knocking over a, a small store ///OR/// a car theft, you know, it, things of that nature.",,,,,,,,
43216:36,"and we got rid of them, believe it ///OR/// not, with smoke bombs, which is just about impossible to do,",,,,,,,,
91064:123,"they had chosen santa barbara, california for this summer and, and did not get enough people that were willing to go that far, because most of us live either in the midwest, ///OR/// like in the texas, oklahoma area.",,,,,,,,
66190:44,"so i thought, man, i don't know if i trust this ///OR/// not.",,,,,,,,
79227:23,"and if they don't say yes ///OR/// no, then maybe somebodye will vote for them that wouldn't have if they had come down on the wrong side.",,,,,,,,
14875:209,"but the guy at the very top, the one who's, whoc's really making the millions and the millions is the one who also many times is part of the power structure, uh, the, uh, and had the political uh, pull to keep things from, uh, keep the interest ///OR/// the emphasis in some other direction, other than on the drug dealing,",,,,,,,,
138283:70,"and it's kind of, uh, hard to get, uh, shop space unless you have a dedicated shop ///OR/// a dedicated room for that.",,,,,,,,
11792:29,"but, uh, i have some question, whether ///OR/// not they will ever really get around to that.",,,,,,,,
163053:76,"now, if he comes in and says, you know, i'll repair your, your v c r, ///OR/// somebody else's v c r, for a hundred dollars, gets in there, maybe it's a blown fuse,",,,,,,,,
144197:16,and they traded either richmond ///OR/// hardaway to sacramento for billy owens,,,,,,,,
118424:62,"and altog-, all total, it was just under two hundred dollars, believe it ///OR/// not, to get all that done.",,,,,,,,
74280:75,"and you can't make up in a classroom of one hour a day, what's not been doned for, fifteen ///OR/// sixteen years at home,",,,,,,,,
8419:45,"well, have you any plans to, uh, maybe, uh, expand ///OR/// move onward.",,,,,,,,
39108:72,"i never have tried that, just because i don't have that much space on this little porch here in this apartment ///OR/// this little balcony.",,,,,,,,
164502:39,"i, i'm in washington, d c ///OR/// at least very close to it.",,,,,,,,
82982:71,"and, and, you think, if i wasn't here he'd be learning that from a baby-sitter ///OR/// from a day care.",,,,,,,,
55620:26,"because no matter what i did ///OR/// how i did it, i invariably got myself wet.",,,,,,,,
166916:31,during the trial as to whether they're guilty ///OR/// not has nothing to do with their background.,,,,,,,,
41706:73,"because maybe they, those are not the clothes that are the most, uh, appealing to you, ///OR/// the most, uh, complimentary to you.",,,,,,,,
89923:105,"they, they show very well un-, they show very well unless you have, you know, lived in a lot of houses around the area, ///OR/// looked at a lot of houses around here.",,,,,,,,
59994:62,"we're just not willing to set a society not willing to spend the time ///OR/// the money to do what it takes,",,,,,,,,
174072:59,"uh, i guess the topic is trial by jury and how we should change that ///OR/// how we would change it.",,,,,,,,
57651:59,"i'm convinced that the small v eight like the, the mustang's original two eighty-nine ///OR/// some of the chevy two eighty-threes, were good little v eight engines that were not gas guzzlers",,,,,,,,
121100:87,"and the next spring, i guess in that march, every time we would go out and just try to walk on the grass ///OR/// reach down to pull a weed, we'd have big whole patches come up.",,,,,,,,
15229:24,"i couldn't possibly commit a year ///OR/// two of my life to, to go do something.",,,,,,,,
47484:42,"but i don't even know if they're still new york yankees, ///OR/// mumblex new jersey.",,,,,,,,
20160:209,"i, i think if immigration was entirely unrestricted, uh, not only would, would the united states become over populated, well, more over populated awfully quickly, i thinkb it, it would bring in a lot of, uh, people that are, run out of other countries ///OR/// in trouble in, in other countries.",,,,,,,,
72646:93,"i let papers, newspapers stack up and magazines stack up, if i don't really set aside a time to look ///OR/// read them.",,,,,,,,
100564:48,"and, uh, you know the type of facilities whether it's a shared room ///OR/// two separate rooms that share uh, a, uh, bathroom.",,,,,,,,
156479:48,"i, i don't trust myself with using a calculator ///OR/// computer, y-, too much stuff like that because i want to make sure that, that i, i keep on top of the numbers and understand what's going on.",,,,,,,,
127793:67,"and it goes into all the movies,e previewing the movies that are going to be released ///OR/// behind the scenes.",,,,,,,,
160808:39,"i mean, i just read something that, two thirds ///OR/// three quarters, i'm not exactly sure of our national debt are, was created during the reagan bushe era whod are suppo-, supposedly fiscally conservative.",,,,,,,,
21053:31,"and i watched that for like, oh, ten ///OR/// fifteen straight years,",,,,,,,,
52433:93,"he, he happens to be, uh, a friend of one of her, her business associates. and, or, not, not a friend, a cousin, a cousin.",,,,,,,,
152475:203,"i, uh, i think there is more of an ability of you know, you know for selecting a jury, two different juries that would most of the time come up with the same idea, uh, the same idea versus you know whether he is guilty ///OR/// innocent",,,,,,,,
147719:68,"is it p-, do you think it's possible to have honesty in government ///OR/// an honest government.",,,,,,,,
155454:77,"so that, that option sometimes is not available if they do not have the, uh, either medicare ///OR/// insurance to cover it.",,,,,,,,
164097:49,"one of my sons has a, a plymouth, uh, van or, you know, uh, uh, that same type of thing, the voyager, i guess",,,,,,,,
89290:20,see i went about two ///OR/// three weeks ago and saw f x two,,,,,,,,
167079:57,"like for petty, for theft and, and stuff like that ///OR/// manslaughter, you know, i don't think they should do that.",,,,,,,,
9174:38,"uh, what do you think individuals could do, ///OR/// society could do to alleviate this problem.",,,,,,,,
175985:81,"you, you you were born in, in the, in the late thirties ///OR/// early forties.",,,,,,,,
163049:87,"it's kind of like do it, do it in the similar vein similar, like, uh, v c r ///OR/// television repair.",,,,,,,,
141931:26,"so, we will play either out there ///OR/// at firewheel.",,,,,,,,
143588:93,"and, uh, people there were saying that the way that the schools were goingb, a lot of people were going away and going to private schools, ///OR/// else going to home, where they taught their kids at home. or, you know, anything but the public schools and the ones that did have, you know, the kids,",,,,,,,,
51548:67,"and she literally spent almost the entire amount that i paid her on my daughter. either making her clothes or, buying her things.",,,,,,,,
42958:70,"but, boy if someone did break in, i don't, i don't know that i could ///OR/// would even grab it.",,,,,,,,
50706:78,it would be great to have some of those organizations like you mentionedf that were during the depression ///OR/// coming out of the depression available for kids.,,,,,,,,
19844:87,"well, i've gone to the point where my husband, my husband travels, i get out like, you know, two ///OR/// three books.",,,,,,,,
117982:68,"and there's nothing you could say bad about him, except that i was more of a cat ///OR/// a small dog person that you could site in the chair and cuddle.",,,,,,,,
121355:48,"and any time there's, there is a budget cut ///OR/// crunches, it's always the small guy that, that gets hurt.",,,,,,,,
13033:62,"and i never have figured out how he won, uh, entertainer of the year for about, three ///OR/// four years in a row.",,,,,,,,
55123:44,"so, i don't know how these changes are going to help ///OR/// hinder the team,",,,,,,,,
173993:39,"but if you have a problem with what we did ///OR/// how we did ita, you can always come back and talk to me about it.",,,,,,,,
168511:31,and i don't believe they do in germany ///OR/// italy either,,,,,,,,
163492:87,"when i, when i see that money taken out of my paycheck each, each week, i, ///OR/// each, every other week, i, i really think that money's history",,,,,,,,
96875:30,"i do not know if he was a general or, you know, what his rank was,",NP,,,,,,,
165932:19,"because there was an article ///OR/// a story done awhile ago that, uh, trash, uh, the telephone books are the type of thing that don't break down over a long period of time.",NP,,,,,,,
48293:58,"i guess i have never heard of a, a robbery being foiled ///OR/// spoiled because the person whoe's being robbed had a gun.",AP,,,,,,,
25750:101,"i've, i've kind of formed the attitude that, you know, if i could just, if i could pick two ///OR/// three shots out, uh, out of my game every time and put them together on one hole, then i do pretty good",Num,,,,,,,
160310:27,and i'm not sure if kroger does ///OR/// not,OrNot,,,,,,,
47691:24,"and, i mean, mumblex four ///OR/// more children are thin,",Num,,,,,,,
173464:69,"well i think that currently the way the law stands isn't so much that the laws are enforceable ///OR/// not,",OrNot,,,,,,,
166652:28,and you start getting millions of calls ///OR/// solicitations.,N,,,,,,,
104451:40,and i don't know if there's a deposit on those ///OR/// not.,OrNot,,,,,,,
18798:25,and then you can either bundle your newspapers ///OR/// put them in grocery bags.,VP,,,,,,,
1502:41,"i would just take her the actual paperwork once, uh, every week ///OR/// two,",Num,,,,,,,
48005:83,"and, uh, then you'd be willing to give up your job to stay home and with, ///OR/// stay with the children.",VP,,,,,,,
13591:93,"but now with this thing i'm participating in, i kind of have to answer it, because you never know if it's the switchboard ///OR/// if it's, uh, you know, somebody calling that you really don't want to talk on the phone.",NP,,,,,,,
152148:57,"i mean, the examinations and, and, uh, checkups every year, ///OR/// every six months are free",Num,,,,,,,
1239:63,"but i think they should also respect the sanctity of the american home, whether it be in a house ///OR/// in an apartment.",NP,,,,,,,
24736:40,"and are you talking about public schools being lower level, high school level ///OR/// state school.",AP,,,,,,,
126348:129,"i guess in some cases they just consider pickup your, your phone and, and, and not let you use your phone for a while whether you hang up on them ///OR/// not.",OrNot,,,,,,,
153003:37,and you know they are usually either that way with everybody ///OR/// friendly to everybody.,AP,,,,,,,
160000:141,"and, uh, i guess, uh, first and foremost, it, really it's a question of what the student wants to have in the way of a career and then, uh, uh, which colleges ///OR/// universities can best offer that program,",N,,,,,,,
41798:95,"and, uh, and i find even, even at home here now, i, i will wear blue jeans ///OR/// i'll wear shorts and what have you, uh, and be very comfortable",NP,,,,,,,
110943:19,"and they're all in boxes ///OR/// bags,",N,,,,,,,
97363:28,"only time will tell whether it's better ///OR/// worse, than the way we grew up.",Adv,,,,,,,
10197:18,he either hits home run ///OR/// strike out.,VP,,,,,,,
168510:23,they don't execute anybody in britain ///OR/// france,N,,,,,,,
35761:57,"he said, you're going to get a car that's got flood damage ///OR/// hail damage.",AP,,,,,,,
67512:40,"i mean, maybe it's because of the winters. uh, ///OR/// maybe just because, you know, there's, there's a lot more flat lands, you know, out in the west.",Mismatch,,,,,,,
42190:40,"menc breaking in, uh, to houses and taking, ///OR/// a man, they, they think it's the same person, taking, uh, little girls right straight out of their beds at night. and, ku-, you know, breaking in, obviously watching them in the house, because they're breaking into the right window, you know, the little girl's bedroom. and taking them out, putting them in a car and driving them out and taking them out and molesting them and then bringing them back and throwing them back in their own front yards.",NP,,,,,,,
52191:66,"and, a lot of times, what i wind up doing is, picking say an actor ///OR/// an actress, and seeing like all,",N,,,,,,,
26057:89,"well, having, having been out of the credit game for some years now, i've gotten used to either paying in cash ///OR/// not getting it.",VP,,,,,,,
25294:38,i haven't heard whether it's goingf to rain ///OR/// not.,OrNot,,,,,,,
128736:29,but we never actually went out and measured anything ///OR/// did anything on one system.,VP,,,,,,,
157948:33,"i, i think working mothers ///OR/// mothers who choose to work outside the home, um, need very early to come to grips with any guilt, that they feel and decide what's best for them and their family.",NP,,,,,,,
72536:50,"i like, uh, i like readers digest, believe it ///OR/// not.",OrNot,,,,,,,
173504:75,"and if you don't you'll perish. either by the hand of your, your, your master ///OR/// by being pushed out in the woods.",PP,,,,,,,
157474:125,"and i, i don't think it would be wrong to say that eleven out of twelve can convict if there were something corresponding saying that if, you know, six ///OR/// seven voted not guilty, then instead of it being a hung jury, that was an acquittal.",Num,,,,,,,
967:82,"um, the, the other side of that might be if, if someone found out somethingd ///OR/// surmised something thatb weren't true then i would feel probably more invaded in the gossipy sort of sense.",VP,,,,,,,
125273:30,it doesn't have the coup de ville ///OR/// the sedan de ville squareness.,NP,,,,,,,
27895:52,"they went through the, uh, parent thing where you've got to practice ///OR/// you're not going out to play thing,",VP,,,,,,,
48363:20,"you could see someone coming ///OR/// dressed inappropriately, you know,",AP,,,,,,,
54703:34,"and i think it was like a three hour movie ///OR/// two and a half hours,",Num,,,,,,,
139014:49,"people that i know that come from, uh, like georgia ///OR/// north carolina, yeah, they say, it's,",NP,,,,,,,
111782:55,"and so that night we had a reception for some of the, uh, potential high school students ///OR/// college students,",AP,,,,,,,
91792:63,"not only am, am i re-, reading it to decide whether ///OR/// not it should be reviewed, but also, um, because the board of advisers for this, um, journal doesn't have, right now doesn't have a really respected name, um, who's a, uh, a scholar on, on music,",OrNot,,,,,,,
111864:66,"so sometimes we drive for a couple hundred miles until we find a wendy's, because it's all either mcdonald's ///OR/// dairy queens,",NP,,,,,,,
55109:29,"i think they will probably win one ///OR/// two more games than they did this year,",Num,,,,,,,
92169:77,"and, and, uh, it was an enormous task to bring all of those people together with just one ///OR/// two people helping.",Num,,,,,,,
99294:26,they go around in their little coaching shorts ///OR/// parachute pants.,NP,,,,,,,
24893:119,"and plus for, for the type of student that's going to that school, it's going to raise the level of the school because your parents are engineers ///OR/// chemists.",N,,,,,,,
152387:44,"i think you would be more willing to either help that person ///OR/// help it get accomplished, you know.",VP,,,,,,,
173455:167,"and they, uh, they, i think, extend beyond the normal, uh, appeal process. uh, you know, and just drag these, this guy, uh, his, his, uh, ultimate, uh, demise out for ten ///OR/// fifteen years.",Num,,,,,,,
159321:28,and she was in a nursing home for four ///OR/// five years before she died.,Num,,,,,,,
27268:38,we're going to send our kid here for seven ///OR/// eight hours a day,Num,,,,,,,
13420:76,"i get some of these thingse in the mail that i wonder, where in the world did they get my address ///OR/// where did they get my name.",NP,,,,,,,
31347:55,"well, my stepson, you know, i, he went into the navy ///OR/// air force.",NP,,,,,,,
14405:66,"well, he could always get past, you know, he'd get past like six ///OR/// seven tackles and just keepa spinning around and get on into the end zone.",Num,,,,,,,
165670:54,"uh, yet i don't know wh-, whether i would buy saturn ///OR/// not at this point.",OrNot,,,,,,,
27042:33,and you don't know if you were reaching them ///OR/// not,OrNot,,,,,,,
59796:50,"now whether this person is made the moral decision whether he can take another human life ///OR/// not, that's another trip,",OrNot,,,,,,,
37152:54,well i wondered if i was going to get to talk to a male ///OR/// a female on this type.,N,,,,,,,
67423:47,"so i began a program couple, i don't know probably three ///OR/// four weeks ago",Num,,,,,,,
95876:34,they haven't ruled on whether they can test them ///OR/// not.,OrNot,,,,,,,
112322:27,"in fact, you're about the third ///OR/// fourth person in the last month thate said that.",Num,,,,,,,
78975:34,"you know, i didn't know anything about bush ///OR/// dukakis.",N,,,,,,,
98771:31,"and i think if i look back fifty ///OR/// a hundred years i'd say, you know, back then there were the opium dens",Num,,,,,,,
123350:27,i don't know that it would ///OR/// wouldn't.,OrNot,,,,,,,
73888:61,"so, i'm trying to think of anything else that's changed over the last ten ///OR/// twenty years.",Num,,,,,,,
19930:37,i don't know if i'd call it science fiction ///OR/// fantasy.,NP,,,,,,,
173565:96,"uh, you know, we've had, i guess, laws against, uh, you know, various other forms of drugs for the last what sixty ///OR/// seventy years, i guess.",Num,,,,,,,
14300:70,"so, we decided to try it because prior to that all we got were things like glamour ///OR/// sports illustrated.",NP,,,,,,,
46686:76,"i mean, i've seen and i've had friends that have, uh, like, uh, eighty-one ///OR/// eighty, uh, celicas,",Num,,,,,,,
91368:81,"um,. i think it depends on if you want to be a, if you want a regional job ///OR/// a national job,",AP,,,,,,,
14141:68,"i would much prefer that they keep their analysis to themselves. um, since i don't necessarily agree with it ///OR/// it tends to be extraordinarily trite.",Sentence,,,,,,,
42553:48,"i don't think they're going to go to a gun store ///OR/// pawn shop and get it the right way when there's a check,",NP,,,,,,,
155785:58,and we seem to be able to get along with the president turnover ever eight years ///OR/// four years.,Num,,,,,,,
138255:100,"well and with a radial arm saw, if you do have a, a big piece of wood that you need to rip, like you say, ///OR/// cutd, you wouldn't be ablec to do that.",VP,,,,,,,
108517:95,"uh, i, i guess i like the shows that really have a real sense of, uh, i don't know, honesty ///OR/// sort of a purity value, i guess.",NP,,,,,,,
117490:28,"i don't know if i believe that ///OR/// not,",OrNot,,,,,,,
41511:66,"and they charged us, i think it was like, it was likec five ///OR/// six dollars, i can't remember exactly, you know, that we paid for the book to be printed.",Num,,,,,,,
106229:80,"uh, there's two restaurants that i particularly like that i, every time i get into texas ///OR/// i get into atlanta, georgia, i make sure i go,",NP,,,,,,,
169577:50,"i think in like, uh, lesser cases it's like ten out of twelve ///OR/// five out of six, whatever. how ever many is on, sitting on a jury.",Num,,,,,,,
107973:25,but it's only for like two ///OR/// three hours at a time.,Num,,,,,,,
143849:35,but i still don't know if sears will take visa ///OR/// mastercard.,N,,,,,,,
27863:29,"and i have, uh, returned about every four ///OR/// five years to thinking that i would like to do something about it.",Num,,,,,,,
77664:56,"so our whole family, we take family trips to different places to visit fish stores ///OR/// go to fish shows,",VP,,,,,,,
171201:237,"but a lot of time i-, a lot of cases, uh, is circumstantial evidence that, that convicts a person, which i don't think is all the time good. because sometimes it's hard to get all the facts and to prove a person innocent, i mean prove a person guilty if you don't really know ///OR/// you don't really have an eyewitness.",VP,,,,,,,
23317:39,"i guess the schools will get into it, too, sooner ///OR/// later.",Adv,,,,,,,
57971:96,"and he did pull out before it got any further than that where, where it would have turned into more of a police action. uh, ///OR/// more of a political action i guess,e you getting into their governmental affairs which you really can't do as, as another country.",AP,,,,,,,
46504:48,"and i guess maybe that's the way tokyo isc too, ///OR/// japan is too.",NP,,,,,,,
107273:23,and we didn't buy really new ///OR/// expensive cars.,AP,,,,,,,
33521:77,"when you go over there does it bother you in terms of how things are arranged, either at the dallas location ///OR/// the spring creek, in terms of, there's so much, it's so much of a weight orientation, weight lifting, et cetera.",NP,,,,,,,
50514:57,"we're, we're going to become dependent on these other folks sooner ///OR/// later.",Adv,,,,,,,
47341:85,"but i don't think i ever see it except when i go get out of the city and goa camping in the desert ///OR/// in, in the mountains.",N,,,,,,,
152676:84,"uh, there is an interesting proposal that's been going around now for a few years of having a flat tax. uh, ten percent ///OR/// thirteen percent.",Num,,,,,,,
147989:35,"so, i get to go to at least four ///OR/// five concerts a year.",Num,,,,,,,
89978:92,"and, and, uh, my father bought this, uh, my stepfather bought this thinking of a time when one ///OR/// the other of them might need caree",AP,,,,,,,
142177:29,"but uh, even my first, uh, eight ///OR/// nine years of working, i camped almost all of the time because i was in construction.",Num,,,,,,,
17818:24,i usually only go about a mile ///OR/// two.,Num,,,,,,,
164180:99,"uh, when i think of crime, i think of stuff that, that affects other people like people getting, you know, killed ///OR/// raped.",VP,,,,,,,
63303:47,i don't really feel like going in the grocery store all sweaty ///OR/// running errands.,VP,,,,,,,
129802:73,"well, they can't, they can, i think in the punishment phase but not in the guilt ///OR/// innocence because he hasn't been, he hasn't been found guilty of it.",N,,,,,,,
13874:94,"and then you might have more control over, uh, the, the morals that they would be taught rather than in like a classroom ///OR/// a day care center.",NP,,,,,,,
158554:133,"but on the other hand, you know, if they would have had a hard time retaliating because the, you know, they, they wouldn't have been given access to the friend ///OR/// foe codes.",AP,,,,,,,
113429:79,"in, in colorado when the broncos went to the superbowl three times in the last, i don't know, five ///OR/// six years whatever it's been. um, they have these songs on the radio.",Num,,,,,,,
121244:63,"and i said, you know, you need to either read neal sperry's book before you shop ///OR/// get a reputable nursery, because lot of places that would, are just trying to sell whatever was pretty out there,",VP,,,,,,,
140143:61,"and, and, uh, we went down to canton one time oh, gosh, two ///OR/// three years ago now,",Num,,,,,,,
99525:67,"and so they suggested that i might want a smaller school because i was used to a lot of one-on-one uh, ///OR/// small group situations.",AP,,,,,,,
4095:16,"i read about two ///OR/// three novels a week, in addition to all the technical stuff.",Num,,,,,,,
90647:28,"and i'm not sure that the private schools ///OR/// parochial schools address that problem,",AP,,,,,,,
25332:63,"i mean, any other time of year, that's not the case, because it could be very warm ///OR/// very cold.",AP,,,,,,,
93019:124,"and i, and that concerned me, that people were using it as a way to get rid of things they just didn't want to set at the curb ///OR/// take to the dump,",VP,,,,,,,
19130:45,"and now that with gorbachev is introducing more, i guess, freedoms ///OR/// expressions of freedom, it doesn't look as though, you know, everybody's following the same pattern.",NP,,,,,,,
119612:30,"uh, there's a lake like maybe two ///OR/// three miles from here,",Num,,,,,,,
91704:105,"i'm doing some reviews of books, just to, what, to sort of recommend to wh-, whether ///OR/// not a full-scale review should be done for the journal,",OrNot,,,,,,,
81953:37,"i mean you've got a little place on one side ///OR/// the other,",AP,,,,,,,
143478:98,"when we moved from louisiana to denver, it was astounding, you know, to find that prices were, oh, i guess almost two ///OR/// three times as high as we'd expected.",Num,,,,,,,
87739:34,"although she, herself, had never really accepted jesus ///OR/// gone through any of the other, uh, christian, uh, portions of, of the faith, repentance, baptisms, et cetera, et cetera. she had always felt a very strong, uh, leaning in this direction.",VP,,,,,,,
66791:42,i think that's considered exercise whether you want it ///OR/// not.,OrNot,,,,,,,
43991:16,"are you talking, outside ///OR/// inside.",Adv,,,,,,,
14407:35,so you couldn't really tell if it was just him ///OR/// the team,NP,,,,,,,
77037:37,"i, i've only talked to one ///OR/// two",Num,,,,,,,
28157:45,"it's just convincing your husband that that's important, ///OR/// that it's important enough for him to do it.",AP,,,,,,,
71322:10,"in germany ///OR/// in, in england in some cases people in my income level, at least, allege that they pay up to six-, fifty-five percent of their gross income in taxes.",N,,,,,,,
122798:42,"i don't know if it's just because i like the game ///OR/// i just like to, to see the warm weather.",VP,,,,,,,
1256:174,"and that, that's one thing that i feel really strongly about though, is, uh, you know, people coming up to my door, and especially religious organizations and wanting to uh, you know, to try and get me to join or, you know, become interested in their religion,",VP,,,,,,,
169551:32,i think this particular case has been like ten ///OR/// fifteen years.,Num,,,,,,,
115588:11,"and the mailman ///OR/// karl malone was, you know, pretty big thing",NP,,,,,,,
110971:62,"i just, i find i have to get the right kinds, though, ///OR/// it's not comfortable",Mismatch,,,,,,,
104317:89,"and, uh, it kind of makes me listen a little closer to, to the piano when i hear it at other places, ///OR/// when i, you know, see some, see and hear someone playing.",VP,,,,,,,
116286:60,"and what they ran on in platform don't necessarily come true in their voting in the senate ///OR/// congress, whatever.",N,,,,,,,
130353:76,"i think it was outlawed for a while, but, uh, by the supreme court, i mean, or, the interpretation of the constitution",NP,,,,,,,
38859:67,i would love to do crafts and stuff if i just had the time to do it ///OR/// if i had the space.,NP,,,,,,,
21448:96,"and and, well, of course, another one of their mistakes, i thinkd, is they have a tendency to change characters, ///OR/// to change the characters', uh, uh, personalities well, especially after they get married.",NP,,,,,,,
127492:21,do you do it at home ///OR/// a club,NP,,,,,,,
171235:79,"uh, well, actually i think in most criminal cases it wouldn't make any difference whether it was a couple of judges ///OR/// jury.",NP,,,,,,,
105458:174,"couple of guys, uh, restored an old wooden boat that was built back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that went down in the middle to keep you upright when the waves, ///OR/// the wind came from the side",N,,,,,,,
45265:18,she's had about four ///OR/// five litters.,Num,,,,,,,
137821:43,"but, while they were there they set back, drank about four ///OR/// five cups of coffee apiece and made snowmen on the hoods of their vehicles threw snowballs all over the place, had themselves a ball for about an hour.",Num,,,,,,,
45035:42,"uh, and your very best teachers in my estimation should be first, second ///OR/// third grade. so that the children develop good learning patterns",Num,,,,,,,
140033:105,"well, speaking of pets, i'll tell you, my, my kids are older now, my, both of them are either in ///OR/// out of college,",Adv,,,,,,,
105467:18,"and, uh, the storm ///OR/// the wind was due to the front blowing",N,,,,,,,
128813:122,"if they're used to the northern weather then the southern weather they might kind of feel like they need to go out and play all the time, not be in studying. if you're in florida ///OR/// california.",N,,,,,,,
144793:82,"uh, it was really frightening to, think that, uh, it's not even safe to drive onto the tollway, ///OR/// for those people in the tollbooth.",Mismatch,,,,,,,
112636:68,"and, and, uh, uh, but we didn't, uh, do it as much ///OR/// as often as, uh, i would have liked to.",Adv,,,,,,,
139927:102,"well, i, i was wondering what, if you all were to get a pet, like if you werec to move into an apartment ///OR/// a house somewhere,",N,,,,,,,
157011:154,"and, you know, i, i think when you listen to like the, uh, the, the victims' families and things, they're always talking about, you know, uh,f feeling justified ///OR/// feeling, you know, like they've gotten something out of it,",AP,,,,,,,
26538:60,"we won't, we don't, we won't get the recorder ///OR/// the, uh, system to shut us off, uh, tonight.",N,,,,,,,
145587:30,"and yours is at, you know, eighteen ///OR/// nineteen percent.",Num,,,,,,,
174845:49,"they test you, uh, before they, before you start ///OR/// before you even interview",VP,,,,,,,
99028:72,"so we don't know what is really going on, what is, uh, really the range of sentences ///OR/// awards that are, uh, are actually, uh, in the end applied.",N,,,,,,,
14202:59,"so, i don't, i don't know if you're familiar with him ///OR/// not.",OrNot,,,,,,,
143409:35,"then i would let her narrow it down to three ///OR/// four,",Num,,,,,,,
64802:146,"if, you know, like when the doors movie came out, you know, doors was really on the radio there, you know. where, you know, you'd hear was-, one ///OR/// two of their more famous songs, maybe top forty in baltimore,",Num,,,,,,,
40150:31,"and they kind of just scoot out of his way ///OR/// take a step back, you know,",VP,,,,,,,
107849:89,"but they have been more, little more s-, effective in oklahoma with having this program that you vote ///OR/// you lose ite.",VP,,,,,,,
85977:40,"i, i don't judge any war as good ///OR/// bad,",AP,,,,,,,
9650:26,"and i usually make time in my day ///OR/// my week, you know, to watch those.",N,,,,,,,
24633:46,"so i don't know if i wasn't drug tested based on that ///OR/// because the man who hired me didn't request the drug test, because i know that my company does drug testing on occasion.",Mismatch,,,,,,,
167164:56,"and, of course, now, you know, and you go through two ///OR/// three hundred years of appeals process",Num,,,,,,,
103990:134,"i guess i enjoy, i enjoy jazz, listening to jazz sometime although i don't feel like i have a good, g-, good understanding of it, ///OR/// a good, a good feel for maybe what's good jazz and what's not,",NP,,,,,,,
31165:126,"but, uh, being one of these late in life mothers, i've listened to everybody else's, you know, complaints as to wha-, what's the matter with either their kids ///OR/// the school system.",NP,,,,,,,
132975:27,"i'm not sure those are avis ///OR/// not,",OrNot,,,,,,,
85007:68,"i mean, people that may have been close to the edge just go over because they see something ///OR/// read something.",VP,,,,,,,
162268:64,"and, the best thing, and a lot of the stuff, the best thing is like four years ///OR/// five years, it's pretty soon, you're completely vested in the retirement plan and everything,",Num,,,,,,,
120579:20,"everything was like an hour ///OR/// two hours at the louvre, you know, things like that where you need the whole day,",Num,,,,,,,
116314:89,"i don't think the, you know, i don't think money is going to take the place of intelligence or, uh, problem solving skills.",NP,,,,,,,
78707:44,"uh, but he's been known to be gone for a month ///OR/// two at a time",Num,,,,,,,
67555:107,"have you ever had a, uh, it's kind of slightly off the subject, but you ever had a, uh, a blood workup done recently ///OR/// since you've been biking, to see if it,",VP,,,,,,,
60245:66,"but i think that for me, well, my husband just has completely nixed the idea of having a dog ///OR/// a cat.",N,,,,,,,
171282:127,"but i guess, i guess i like the system that they have in some places where the defendant gets to choose whether he's, goes before a jury for sentencing ///OR/// whether the judge getsb to choose ite.",Sentence,,,,,,,
152534:46,it's more of the game plan of how do they convince the judge ///OR/// jury through argument.,N,,,,,,,
171530:129,"so it's a lot, it's very hard on a nonfixed income because i don't know how many days i'm going to be called in and whether i am ///OR/// not, to try to keep track of finances.",OrNot,,,,,,,
99075:72,"but often juries hear only a fraction of the, of the story when they have to decide guilt ///OR/// innocencef.",N,,,,,,,
59539:31,"like you said if you had four kids, ///OR/// even if you had two kids, you would be paying all your salary to pay for those two kids to go.",Num,,,,,,,
115553:41,"you want to go ahead and tell me your favorite team, ///OR/// who you think will be doing well this year.",NP,,,,,,,
112092:38,"i don't feel that that should be any excuse at all ///OR/// any deterrent ag-, uh, you know reason to not use capital punishment.",NP,,,,,,,
176448:17,they did that three ///OR/// four years before they did it with everybody.,Num,,,,,,,
90913:34,"i mean, either way there was family reunion time, ///OR/// not,",OrNot,,,,,,,
116760:45,"because when you get married, you won't have the money ///OR/// the time.",N,,,,,,,
152457:56,"but the other two i feel, uh, would give either you know, the plaintiff ///OR/// for the defendant the the full benefit of the law.",NP,,,,,,,
6724:57,"they could send all the people over to, uh, you know, one particular part of town ///OR/// one particular project, that somebody had paid somebody to, you know, get supported,",NP,,,,,,,
48254:34,"the, the crime is not any better ///OR/// any worse,",Adv,,,,,,,
