TGrepID	EntireSentence	BNBClosestToOr	ComparisonSentence
91704:105	i'm doing some reviews of books, just to, what, to sort of recommend to wh-, whether or not a full-scale review should be done for the journal,	i'm doing some reviews of books,  just to, what, to sort of recommend to wh-, whether or not but not both a full-scale review should be done  for the journal,	i'm doing some reviews of books,  just to, what, to sort of recommend to wh-, whether or not a full-scale review should be done  for the journal but not both,
143478:98	when we moved from louisiana to denver, it was astounding, you know, to find that prices were, oh, i guess almost two or three times as high as we'd expected.	when we moved from louisiana to denver , it  was astounding, you know, to find that prices were, oh, i guess almost two or three but not both times as high as we'd expected.	when we moved from louisiana to denver , it  was astounding, you know, to find that prices were, oh, i guess almost two or three times as high as we'd expected but not both.
87739:34	although she, herself, had never really accepted jesus or gone through any of the other, uh, christian, uh, portions of, of the faith, repentance, baptisms, et cetera, et cetera. she had always felt a very strong, uh, leaning in this direction.	although she, herself, had never really accepted jesus or gone through any of the other, uh, christian, uh, portions of, of the faith, repentance, baptisms but not both, et cetera, et cetera. she had always felt a very strong, uh, leaning in this direction.	although she, herself, had never really accepted jesus or gone through any of the other, uh, christian, uh, portions of, of the faith, repentance, baptisms, et cetera, et cetera. she had always felt a very strong, uh, leaning in this direction but not both.
71322:10	in germany or in, in england in some cases people in my income level, at least, allege that they pay up to six-, fifty-five percent of their gross income in taxes.	in germany or in, in england but not both in some cases people in my income level, at least, allege that they pay up to six-, fifty-five percent of their gross income in taxes.	in germany or in, in england in some cases people in my income level, at least, allege that they pay up to six-, fifty-five percent of their gross income in taxes but not both.
1256:174	and that, that's one thing that i feel really strongly about though, is, uh, you know, people coming up to my door, and especially religious organizations and wanting to uh, you know, to try and get me to join or, you know, become interested in their religion,	and that, that's one thing that i feel really strongly about  though, is, uh, you know, people  coming up to my door, and especially religious organizations and wanting  to uh, you know, to try and get me to join or, you know but not both, become interested in their religion,	and that, that's one thing that i feel really strongly about  though, is, uh, you know, people  coming up to my door, and especially religious organizations and wanting  to uh, you know, to try and get me to join or, you know, become interested in their religion but not both,
110971:62	i just, i find i have to get the right kinds, though, or it's not comfortable	i just, i find i have  to get the right kinds, though, or it's but not both not comfortable	i just, i find i have  to get the right kinds, though, or it's not comfortable but not both.
127492:21	do you do it at home or a club	do you do it at home or a but not both club	do you do it at home or a club but not both.
105458:174	couple of guys, uh, restored an old wooden boat that was built back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that went down in the middle to keep you upright when the waves, or the wind came from the side	couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind but not both came from the side	couple of guys, uh, restored an old wooden boat that  was built  back in the mid-thirties and got a new canvas sail for it and had a real h-, big old four- foot center board that  went down in the middle  to keep you upright when the waves, or the wind came from the side but not both.
137821:43	but, while they were there they set back, drank about four or five cups of coffee apiece and made snowmen on the hoods of their vehicles threw snowballs all over the place, had themselves a ball for about an hour.	but, while they were there they set back, drank about four or five cups but not both of coffee apiece and made snowmen on the hoods of their vehicles threw snowballs all over the place, had themselves a ball for about an hour.	but, while they were there they set back, drank about four or five cups of coffee apiece and made snowmen on the hoods of their vehicles threw snowballs all over the place, had themselves a ball for about an hour but not both.
45035:42	uh, and your very best teachers in my estimation should be first, second or third grade. so that the children develop good learning patterns	uh, and your very best teachers in my estimation should be first, second or third but not both grade. so that the children develop good learning patterns	uh, and your very best teachers in my estimation should be first, second or third grade. but not both so that the children develop good learning patterns
140033:105	well, speaking of pets, i'll tell you, my, my kids are older now, my, both of them are either in or out of college,	well, speaking of pets, i'll tell you, my, my kids are older now, my, both of them are either in or out of but not both college,	well, speaking of pets, i'll tell you, my, my kids are older now, my, both of them are either in or out of college but not both,
144793:82	uh, it was really frightening to, think that, uh, it's not even safe to drive onto the tollway, or for those people in the tollbooth.	uh, it  was really frightening to, think that, uh, it 's not even safe to drive onto the tollway, or for those but not both people in the tollbooth.	uh, it  was really frightening to, think that, uh, it 's not even safe to drive onto the tollway, or for those people in the tollbooth but not both.
112636:68	and, and, uh, uh, but we didn't, uh, do it as much or as often as, uh, i would have liked to.	and, and, uh, uh, but we didn't, uh, do it as much or as often but not both as, uh, i would have liked  to.	and, and, uh, uh, but we didn't, uh, do it as much or as often as, uh, i would have liked  to but not both.
157011:154	and, you know, i, i think when you listen to like the, uh, the, the victims' families and things, they're always talking about, you know, uh,f feeling justified or feeling, you know, like they've gotten something out of it,	and, you know, i, i think when you listen to like the, uh, the, the victims' families and things , they're always talking about, you know, uh,  feeling justified or feeling, you know, like they've gotten something but not both out of it,	and, you know, i, i think when you listen to like the, uh, the, the victims' families and things , they're always talking about, you know, uh,  feeling justified or feeling, you know, like they've gotten something out of it but not both,
145587:30	and yours is at, you know, eighteen or nineteen percent.	and yours is at, you know, eighteen or nineteen but not both percent.	and yours is at, you know, eighteen or nineteen percent but not both.
174845:49	they test you, uh, before they, before you start or before you even interview	they test you, uh, before they, before you start or before you but not both even interview	they test you, uh, before they, before you start or before you even interview but not both.
99028:72	so we don't know what is really going on, what is, uh, really the range of sentences or awards that are, uh, are actually, uh, in the end applied.	so we don't know what  is really going on, what  is, uh, really the range of sentences or awards but not both that  are, uh, are actually, uh, in the end applied .	so we don't know what  is really going on, what  is, uh, really the range of sentences or awards that  are, uh, are actually, uh, in the end applied but not both .
64802:146	if, you know, like when the doors movie came out, you know, doors was really on the radio there, you know. where, you know, you'd hear was-, one or two of their more famous songs, maybe top forty in baltimore,	if, you know, like when the doors movie came out , you know, doors was really on the radio  there, you know. where, you know, you'd hear was-, one or two but not both of their more famous songs, maybe top forty in baltimore ,	if, you know, like when the doors movie came out , you know, doors was really on the radio  there, you know. where, you know, you'd hear was-, one or two of their more famous songs, maybe top forty in baltimore but not both ,
107849:89	but they have been more, little more s-, effective in oklahoma with having this program that you vote or you lose ite.	but they have been more, little more s-, effective in oklahoma with having this program that you vote  or you but not both lose it .	but they have been more, little more s-, effective in oklahoma with having this program that you vote  or you lose it but not both .
9650:26	and i usually make time in my day or my week, you know, to watch those.	and i usually make time in my day or my week but not both, you know,  to watch those.	and i usually make time in my day or my week, you know,  to watch those but not both.
24633:46	so i don't know if i wasn't drug tested based on that or because the man who hired me didn't request the drug test, because i know that my company does drug testing on occasion.	so i don't know if i wasn't drug tested  based on that or because the man who  hired me didn't request the drug test but not both, because i know that my company does drug testing on occasion.	so i don't know if i wasn't drug tested  based on that or because the man who  hired me didn't request the drug test, because i know that my company does drug testing on occasion but not both.
167164:56	and, of course, now, you know, and you go through two or three hundred years of appeals process	and, of course, now, you know, and you go through two or three but not both hundred years of appeals process	and, of course, now, you know, and you go through two or three hundred years of appeals process but not both.
103990:134	i guess i enjoy, i enjoy jazz, listening to jazz sometime although i don't feel like i have a good, g-, good understanding of it, or a good, a good feel for maybe what's good jazz and what's not,	i guess i enjoy, i enjoy jazz, listening to jazz sometime although i don't feel like i have a good, g-, good understanding of it, or a good, a good feel but not both for maybe what 's good jazz and what 's not,	i guess i enjoy, i enjoy jazz, listening to jazz sometime although i don't feel like i have a good, g-, good understanding of it, or a good, a good feel for maybe what 's good jazz and what 's not but not both,
120579:20	everything was like an hour or two hours at the louvre, you know, things like that where you need the whole day,	everything was like an hour or two but not both hours at the louvre, you know, things like that where you need the whole day ,	everything was like an hour or two hours but not both at the louvre, you know, things like that where you need the whole day ,
78707:44	uh, but he's been known to be gone for a month or two at a time	uh, but he's been known  to be gone for a month or two but not both at a time	uh, but he's been known  to be gone for a month or two at a time but not both.
67555:107	have you ever had a, uh, it's kind of slightly off the subject, but you ever had a, uh, a blood workup done recently or since you've been biking, to see if it,	have you ever had a, uh, it's kind of slightly off the subject, but you ever had a, uh, a blood workup done  recently or since you've but not both been biking, to see if it,	have you ever had a, uh, it's kind of slightly off the subject, but you ever had a, uh, a blood workup done  recently or since you've been biking, to see if it but not both,
171282:127	but i guess, i guess i like the system that they have in some places where the defendant gets to choose whether he's, goes before a jury for sentencing or whether the judge getsb to choose ite.	but i guess, i guess i like the system that they have  in some places where the defendant gets  to choose whether he's, goes before a jury for sentencing or whether the judge gets  to choose but not both it .	but i guess, i guess i like the system that they have  in some places where the defendant gets  to choose whether he's, goes before a jury for sentencing or whether the judge gets  to choose it but not both .
171530:129	so it's a lot, it's very hard on a nonfixed income because i don't know how many days i'm going to be called in and whether i am or not, to try to keep track of finances.	so it's a lot, it 's very hard on a nonfixed income because i don't know how many days i'm going  to be called  in  and whether i am  or not but not both, to try  to keep track of finances.	so it's a lot, it 's very hard on a nonfixed income because i don't know how many days i'm going  to be called  in  and whether i am  or not, to try  to keep track of finances but not both.
112092:38	i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment.	i don't feel that that should be any excuse at all or any deterrent but not both ag-, uh, you know reason to not use capital punishment .	i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment but not both .
135320:83	well and then, you think, well, how did they do it out in the real world anyway when these fish are in the tropicals or wherever they are kind of trying to keep up with that,	well and then, you think, well, how did they do it  out in the real world anyway when these fish are in the tropicals or wherever but not both they are   kind of trying  to keep up with that ,	well and then, you think, well, how did they do it  out in the real world anyway when these fish are in the tropicals or wherever they are   kind of trying  to keep up with that but not both ,
33076:56	well, um, i think it would probably depend on whether this was a formal or a informal dinner party.	well, um, i think it would probably depend on whether this was a formal  or a informal but not both  dinner party.	well, um, i think it would probably depend on whether this was a formal  or a informal  dinner party but not both.
104851:51	so occasionally i'll bring whatever i've got laying around the car or the like and throw them in there.	so occasionally i'll bring whatever  i've got  laying around the car or the like but not both and throw them in there.	so occasionally i'll bring whatever  i've got  laying around the car or the like and throw them in there but not both.
151327:145	well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs.	well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not but not both taking drugs.	well, i think, i think we, i think the problem here is, is that a, a drug test does not necessarily imply that someone is taking drugs or not taking drugs but not both.
13834:72	maybe we'll see a growth in that where someone makes a career out of, say, taking care of five or six children as opposed to day care.	maybe we'll see a growth in that where someone makes a career out of, say,  taking care of five or six children but not both as opposed to day care .	maybe we'll see a growth in that where someone makes a career out of, say,  taking care of five or six children as opposed to day care but not both .
31223:100	in fact, i think that's, that's one of the big problems today is the, the way the kids behave or act and, and the way they are sometimes disinterested in what's going on in the class and disruptive.	in fact, i think that's, that's one of the big problems today is the, the way the kids behave or act but not both  and, and the way they are sometimes disinterested in what 's going on in the class and disruptive .	in fact, i think that's, that's one of the big problems today is the, the way the kids behave or act  and, and the way they are sometimes disinterested in what 's going on in the class and disruptive but not both .
37749:72	we're going to talk about the public school system, what's wrong with it, an, or if anything is wrong with it and what we can do about it, what should be done about it.	we're going  to talk about the public school system, what 's wrong with it, an, or if anything is wrong but not both with it and what we can do  about it, what  should be done  about it.	we're going  to talk about the public school system, what 's wrong with it, an, or if anything is wrong with it and what we can do  about it, what  should be done  about it but not both.
31200:26	it was told to me or suggested to me, uh, that to work as a teacher in the public school systems in the state of texas, and i think it's similar in, in many other states, if you have a degree in a technical field you do not need a teaching certificate because there is such a shortage of, uh, people to teach math and sciences.	it  was told  to me or suggested  to me but not both, uh, that to work as a teacher in the public school systems in the state of texas, and i think it's similar in, in many other states, if you have a degree in a technical field you do not need a teaching certificate because there is such a shortage of, uh, people  to teach math and sciences.	it  was told  to me or suggested  to me, uh, that to work as a teacher in the public school systems in the state of texas, and i think it's similar in, in many other states, if you have a degree in a technical field you do not need a teaching certificate because there is such a shortage of, uh, people  to teach math and sciences but not both.
69440:43	i had, i've had, uh, two or three drug tests that i had to get before i could start working at a job uh, different jobs.	i had, i've had, uh, two or three but not both drug tests that i had  to get  before i could start  working at a job uh, different jobs.	i had, i've had, uh, two or three drug tests that i had  to get  before i could start  working at a job uh, different jobs but not both.
99734:100	and, you know, so many times when you were trying to schedule outdoor activities, you just never knew if it was going to be a go or not because of the weather.	and, you know, so many times when you were trying  to schedule outdoor activities , you just never knew if it was going  to be a go or not but not both because of the weather.	and, you know, so many times when you were trying  to schedule outdoor activities , you just never knew if it was going  to be a go or not because of the weather but not both.
168860:102	wel-, i guess it kind of borders on where, i mean what do you valued more. the invasion of, uh, the person's privacy or the possible danger to, you know, other people.	wel-, i guess it kind of borders on where, i mean what do you value  more. the invasion of, uh, the person's privacy or the possible danger but not both to, you know, other people.	wel-, i guess it kind of borders on where, i mean what do you value  more. the invasion of, uh, the person's privacy or the possible danger to, you know, other people but not both.
42077:97	but gosh, you know, we're keeping, you know we're, we're keeping these men in prison for fifteen or twenty years on death row, and not doing anything with them,	but gosh, you know, we're keeping, you know we're, we're keeping these men in prison for fifteen or twenty years but not both on death row, and not doing anything with them,	but gosh, you know, we're keeping, you know we're, we're keeping these men in prison for fifteen or twenty years on death row, and not doing anything with them but not both,
51368:32	i mean, i've been to like thirty or forty games each of the last few years.	i mean, i've been to like thirty or forty games but not both each of the last few years.	i mean, i've been to like thirty or forty games each of the last few years but not both.
138826:8	two or three years in with them you can start buying stock	two or three but not both years in with them you can start  buying stock	two or three years in with them you can start  buying stock but not both.
28170:152	because if he saw mom doing only that you know, all the time he was growing up then it's hard to think of it in that, other, uh, that i should do it or just to think about doing it rather than having someone tell him to do it.	because if he saw mom doing only that you know, all the time he was growing up  then it 's hard to think of it in that, other, uh, that i should do it or just to think about doing but not both it rather than having someone tell him to do it.	because if he saw mom doing only that you know, all the time he was growing up  then it 's hard to think of it in that, other, uh, that i should do it or just to think about doing it rather than having someone tell him to do it but not both.
132601:54	well, it, it's just like having taxes on, or exemptions for kids, you know.	well, it, it's just like having taxes on , or exemptions but not both for  kids, you know.	well, it, it's just like having taxes on , or exemptions for  kids but not both, you know.
94770:69	and again, it's not, it's not cheap to rent the lodge up there or the meeting room down in the cabins and such,	and again, it's not, it 's not cheap to rent the lodge up there or the meeting room but not both down in the cabins and such,	and again, it's not, it 's not cheap to rent the lodge up there or the meeting room down in the cabins but not both and such,
176099:48	we never really, you know, have to program money for that or make choices, you know.	we never really, you know, have  to program money for that or make choices but not both, you know.	we never really, you know, have  to program money for that or make choices, you know but not both.
81549:27	because we saw it, probably, four or five months ago.	because we saw it, probably, four or five but not both months ago.	because we saw it, probably, four or five months ago but not both.
163718:34	but they're not in it to say anything or give a message which is what they were do-,	but they're not in it  to say anything or give a message but not both which  is what they were do-,	but they're not in it  to say anything or give a message which  is what they were do- but not both,
40595:16	it took us two or three different people to find,	it took us two or three but not both different people  to find,	it took us two or three different people  to find but not both,
160448:28	i just catch the major ones off the news or if someone starts to talk about it.	i just catch the major ones off the news or if someone starts  to talk but not both about it.	i just catch the major ones off the news or if someone starts  to talk about it but not both.
10220:22	that, you know, may or may not happen.	that, you know, may or may not but not both happen.	that, you know, may or may not happen but not both.
56899:10	like three or four percent of australians don't vote	like three or four but not both percent of australians don't vote	like three or four percent but not both of australians don't vote
109263:30	so depending on what your major is, or medical, you might want to atteck-, some, um, attend somewhere like tech	so depending on what your major is , or medical but not both, you might want  to atteck-, some, um, attend somewhere like tech	so depending on what your major is , or medical, you might want  to atteck-, some, um, attend somewhere like tech but not both.
11323:99	that's what i do with a lot of my daughter's things is i'll store her, you know, like her out dated or, out of, out of season clothes in them	that's what i do  with a lot of my daughter's things is i'll store her, you know, like her out dated or, out of, out of season but not both clothes in them	that's what i do  with a lot of my daughter's things is i'll store her, you know, like her out dated or, out of, out of season clothes in them but not both.
108299:58	but when i don't need to dress up for a, a meeting or a service of some sort, i don't.	but when i don't need  to dress up for a, a meeting or a service but not both of some sort , i don't.	but when i don't need  to dress up for a, a meeting or a service of some sort but not both , i don't.
18302:57	i think it's, i think it only has about five or six more years to go because it's a, it's a really old bush,	i think it's, i think it only has about five or six but not both more years to go  because it's a, it's a really old bush,	i think it's, i think it only has about five or six more years but not both to go  because it's a, it's a really old bush,
4535:29	and more and more people start believing them or wondering how to combine them with other things,	and more and more people start  believing them or wondering but not both how to combine them with other things ,	and more and more people start  believing them or wondering how to combine them with other things but not both ,
19641:195	and, uh, the last, uh, i'm embarrassed to say the last, you know, honest to gosh, cover to cover book that i read, i can not, right offhand, i tried to read, uh, one of the, the michener, uh, lone star or the, the texas history book.	and, uh, the last, uh, i'm embarrassed  to say the last, you know, honest to gosh, cover to cover book that i read , i can not, right offhand, i tried  to read, uh, one of the, the michener, uh, lone star or the, the but not both texas history book.	and, uh, the last, uh, i'm embarrassed  to say the last, you know, honest to gosh, cover to cover book that i read , i can not, right offhand, i tried  to read, uh, one of the, the michener, uh, lone star or the, the texas history book but not both.
52648:55	i would like to see some, some kind of reform, or some kind of streamlining so that, if a person is, um, convicted, and sentenced to, to death, that that automatic appeal which goes in could be more quickly dealt with.	i would like  to see some, some kind of reform, or some kind of streamlining but not both so that, if a person is, um, convicted , and sentenced  to, to death, that that automatic appeal which  goes in could be more quickly dealt with .	i would like  to see some, some kind of reform, or some kind of streamlining so that, if a person is, um, convicted , and sentenced  to, to death, that that automatic appeal which  goes in could but not both be more quickly dealt with .
62433:170	and maybe rather than just, require somebody to join like the peace corps for a year maybe like, um, during college, you know, maybe have some kind of course where they'd be required to do some kind of community service type work, and help people in that area or people in the united states.	and maybe rather than just, require somebody to join like the peace corps for a year maybe like, um, during college, you know, maybe have some kind of course where they'd be required  to do some kind of community service type work, and help people in that area or people in the but not both united states .	and maybe rather than just, require somebody to join like the peace corps for a year maybe like, um, during college, you know, maybe have some kind of course where they'd be required  to do some kind of community service type work, and help people in that area or people in the united states but not both .
104819:118	--ing seems to be a, a topic that's going to probably take about a generation to, uh, catch on, it seems, or maybe a generation to two.	--ing seems  to be a, a topic that 's going  to probably take about a generation   to, uh, catch on, it seems , or maybe a generation but not both to two.	--ing seems  to be a, a topic that 's going  to probably take about a generation   to, uh, catch on, it seems , or maybe a generation to two but not both.
108224:44	but then we're back to being warmer than normal this week, or last week,	but then we're back to being warmer than normal this week, or last but not both week,	but then we're back to being warmer than normal this week, or last week but not both,
160003:12	it's whether or not you're a resident for that jurisdiction,	it's whether or not but not both you're a resident for that jurisdiction,	it's whether or not you're a resident for that jurisdiction but not both,
46192:69	but then at the ver-, in the fourth quarter they'd let them get up there either with them or, you know, right ahead of them.	but then at the ver-, in the fourth quarter they'd let them get up there either with them or, you but not both know, right ahead of them.	but then at the ver-, in the fourth quarter they'd let them get up there either with them or, you know, right ahead of them but not both.
76421:21	i think in this area or most all areas they use, you know, for ticks and fleas.	i think in this area or most all but not both areas they use, you know, for ticks and fleas.	i think in this area or most all areas they use, you know, for ticks and fleas but not both.
104342:42	and i couldn't tell whether some parts of town had started it or if it was just everybody was, was waiting for the delivery of whatever those containers were.	and i couldn't tell whether some parts of town had started it or if it was just everybody was, was waiting for the delivery of but not both whatever those containers were .	and i couldn't tell whether some parts of town had started it or if it was just everybody was, was waiting for the delivery of whatever those containers were but not both .
35503:30	but if you've narrowed it down to one or two you can have the car, uh, uh, checked at, uh, an independent service station and have them go through it from top to bottom and tell you if they can find anything wrong, because they don't have any financial interest in it.	but if you've narrowed it down to one or two but not both you can have the car, uh, uh, checked  at, uh, an independent service station and have them go through it from top to bottom and tell you if they can find anything wrong, because they don't have any financial interest in it.	but if you've narrowed it down to one or two you can have the car, uh, uh, checked  at, uh, an independent service station and have them go through it from top to bottom and tell you if they can find anything wrong, because they don't have any financial interest in it but not both.
138291:77	i'd, i'd kind of like to, to look at equipment like a lathe or like you say, a table saw and some of those things that would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth	i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw but not both and some of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth	i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and some of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth but not both.
169332:97	and the view that i would rather take is that there's a different amount of information you need when you're particularly interested in a topic or, uh, particularly interested inb buying something as a, you know as a hobbyista versus when you want to go out and buy a blender because you need to mix things.	and the view that i would rather take  is that there's a different amount of information you need  when you're particularly interested in a topic or, uh, particularly interested in  buying something but not both as a, you know as a hobbyist  versus when you want  to go out and buy a blender because you need  to mix things .	and the view that i would rather take  is that there's a different amount of information you need  when you're particularly interested in a topic or, uh, particularly interested in  buying something as a, you know as a hobbyist  versus when you want  to go out and buy a blender because you need  to mix things but not both .
37241:60	but when i run into people that, you know, just have recently had babies or have very young children and are working full time, i, there's almost a, uh, friction between us.	but when i run into people that, you know,  just have recently had babies or have very young children but not both and are working full time , i, there's almost a, uh, friction between us.	but when i run into people that, you know,  just have recently had babies or have very young children and are working full time , i, there's almost a, uh, friction between us but not both.
24108:42	i think if you're going into like, uh, law or medicine, a very particular, very specific field, even, even engineering, you can get, you can meet a lot of the requirements at a public, um, institution.	i think if you're going into like, uh, law or medicine but not both, a very particular, very specific field, even, even engineering, you can get, you can meet a lot of the requirements at a public, um, institution.	i think if you're going into like, uh, law or medicine, a very particular, very specific field, even, even engineering, you can get, you can meet a lot of the requirements at a public, um, institution but not both.
168838:150	and if they're, you know, if they're on some kind of, you know, contol-, controlled substance then, you know, it kinds of takes away from the job of, you know, the supervisor or manager type person, you know, who is able to evaluate them.	and if they're, you know, if they're on some kind of, you know, contol-, controlled substance then, you know, it kinds of takes away from the job of, you know, the supervisor or manager but not both type person, you know, who  is able  to evaluate them.	and if they're, you know, if they're on some kind of, you know, contol-, controlled substance then, you know, it kinds of takes away from the job of, you know, the supervisor or manager type person, you know, who  is able  to evaluate them but not both.
14511:27	but i heard on the radio this morning, or yesterday morning, that, uh, aikman's back in practicing, doing real, real well.	but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.	but i heard on the radio this morning, or yesterday morning, that, uh, aikman's back in  practicing, doing real, real well but not both.
87877:62	and, uh, because she could claim she was married, she could get, uh, an apartment or a condominium in a very exclusive building in new york that had a garden, an, an, an outside garden, whicha is very unusual there.	and, uh, because she could claim she was married, she could get, uh, an apartment or a condominium but not both in a very exclusive building in new york that  had a garden, an, an, an outside garden, which  is very unusual there.	and, uh, because she could claim she was married, she could get, uh, an apartment or a condominium in a very exclusive building in new york that  had a garden, an, an, an outside garden, which  is very unusual there but not both.
63674:32	you know, the differences between seventy and seventy-two or seventy-five degrees isn't much,	you know, the differences between seventy and seventy-two or seventy-five but not both degrees isn't much,	you know, the differences between seventy and seventy-two or seventy-five degrees isn't much but not both,
66362:55	i would think it wouldn't be, you know, much more than the eighteen or nineteen percent everyone else charges.	i would think it wouldn't be, you know, much more than the eighteen or nineteen percent but not both everyone else charges .	i would think it wouldn't be, you know, much more than the eighteen or nineteen percent everyone else charges but not both .
159334:42	and, you know, it was very difficult for either them or my grandfather to take care of her since she was, uh, you know, could not do very much for herself after the stroke.	and, you know, it  was very difficult for either them or my grandfather but not both to take care of her since she was, uh, you know, could not do very much for herself after the stroke.	and, you know, it  was very difficult for either them or my grandfather to take care of her since she was, uh, you know, could not do very much for herself after the stroke but not both.
109014:41	i don't haved to run to the store to buy or look for something i haven't heard of.	i don't have  to run to the store to buy or look but not both for something i haven't heard of .	i don't have  to run to the store to buy or look for something i haven't heard of but not both .
112292:38	and he'll just eat chips until we've got three or four baskets coming back.	and he'll just eat chips until we've got three or four but not both baskets coming back.	and he'll just eat chips until we've got three or four but not both baskets coming back.
19289:87	but i don't believe that he, in this first pass around, you know, being the first one to really turn things around or attempt to is going to be allowed to get away with it either.	but i don't believe that he, in this first pass around, you know,  being the first one  to really turn things around or attempt  to but not both is going  to be allowed  to get away with it either.	but i don't believe that he, in this first pass around, you know,  being the first one  to really turn things around or attempt  to is going  to be allowed  to get away with it either but not both.
74729:93	and it was absolutely clear that if you could get your book adopted by texas, then you had a built-in market because there were only about three or four textbooks in each subject	and it  was absolutely clear that if you could get your book adopted  by texas, then you had a built-in market because there were only about three or four but not both textbooks in each subject	and it  was absolutely clear that if you could get your book adopted  by texas, then you had a built-in market because there were only about three or four textbooks in each subject but not both.
127532:70	by the time i get homea, all i want to do is just collapse or sit down at my computer	by the time i get home , all i want  to do  is just collapse or sit down but not both at my computer	by the time i get home , all i want  to do  is just collapse or sit down at my computer but not both.
26479:17	it's the thirty-five or forty thousand dollar one, whatever it is,	it's the thirty-five or forty thousand dollar one but not both, whatever it is ,	it's the thirty-five or forty thousand dollar one, whatever it is but not both ,
43671:48	it's hard to find movies thata aren't terrible violent or terribly bunch of sex going on anymore.	it 's hard to find movies that  aren't terrible violent or terribly bunch of sex but not both going on anymore.	it 's hard to find movies that  aren't terrible violent or terribly bunch of sex going on anymore but not both.
68703:60	if i were ar-, let's say i were arrested falsely or not and put up for a jury	if i were ar-, let's say i were arrested  falsely or not but not both and put  up for a jury	if i were ar-, let's say i were arrested  falsely or not and put  up for a jury but not both.
51633:46	it's hard to tell how much has been that or how much is just her.	it 's hard to tell how much  has been that or how much but not both  is just her.	it 's hard to tell how much  has been that or how much  is just her but not both.
86259:83	you, you don't havef to worry about filling out forms, uh, you know, for reimbursement and all or, you know, getting paid eight percent of, of whatever.	you, you don't have  to worry about  filling out forms, uh, you know, for reimbursement and all or, you know, getting paid  eight percent but not both of, of whatever.	you, you don't have  to worry about  filling out forms, uh, you know, for reimbursement and all or, you know, getting paid  eight percent of, of whatever but not both.
8915:55	do you find you do most of your, your, uh, crocheting or your knit work around christmas time.	do you find you do most of your, your, uh, crocheting or your knit but not both work around christmas time.	do you find you do most of your, your, uh, crocheting or your knit work but not both around christmas time.
36973:48	and the russian people are all realizing that the communist system does not work to their satisfaction or their way of surviving in this world,	and the russian people are all realizing that the communist system does not work to their satisfaction or their way of surviving but not both in this world,	and the russian people are all realizing that the communist system does not work to their satisfaction or their way of surviving in this world but not both,
105465:58	--n4010db to learn the maneuvers you had to make to work your way down a lake or work back up against the, the wind, as it were, tacking back and forth	to learn the maneuvers you had to make  to work your way down a lake or work back up against the, the wind but not both, as it were,  tacking back and forth	to learn the maneuvers you had to make  to work your way down a lake or work back up against the, the wind but not both, as it were,  tacking back and forth
73408:63	they had stayed with this family from the time these children were small, you know, four or five years old, up until they were well into grade school.	they had stayed with this family from the time these children were small, you know, four or five years but not both old , up until they were well into grade school.	they had stayed with this family from the time these children were small, you know, four or five years old but not both , up until they were well into grade school.
24200:82	the only field i'm not familiar with really is education, which is required, mumblex requires about four or five different fields really.	the only field i'm not familiar with  really is education, which is required,  mumblex requires about four or five but not both different fields really.	the only field i'm not familiar with  really is education, which is required,  mumblex requires about four or five different fields really but not both.
43724:70	if i ever get the hankeringa to see something, i've got, i don't know, maybe about thirty or forty movies	if i ever get the hankering  to see something, i've got, i don't know, maybe about thirty or forty but not both movies	if i ever get the hankering  to see something, i've got, i don't know, maybe about thirty or forty movies but not both.
147886:19	usually involving the prime minister or people very close to him.	usually involving the prime minister or people but not both very close to him.	usually involving the prime minister or people very close to him but not both.
165010:22	it's probably a japanesec or a burmesef company owning and hiring people in the u s.	it's probably a japanese  or a burmese but not both  company owning and hiring people in the u s.	it's probably a japanese  or a burmese  company but not both owning and hiring people in the u s.
29489:84	againd not having, uh, lived through another war, i don't know if that's a common thing that people thought of, or if that was a new concern with people.	again  not having, uh, lived through another war, i don't know if that's a common thing that people thought of , or if that was a new concern but not both with people.	again  not having, uh, lived through another war, i don't know if that's a common thing that people thought of , or if that was a new concern with people but not both.
84000:35	it almost costs so much to fix anything or do anything with it, you're just better off buying another car.	it almost costs so much  to fix anything or do anything but not both with it, you're just better off  buying another car.	it almost costs so much  to fix anything or do anything with it, you're just better off  buying another car but not both.
